source,target
30-day trial,prueba gratuita por 30 días
3D printer,impresora 3D
ACE,ACE
activation code,código de activación
ADI,ADI
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
alpha channel,canal alfa
ambient color,color ambiental
ambient temperature,temperatura ambiente
amendment,modificación
anchor point,punto de anclaje
angle constraint,restricción de ángulo
anti-boycott,antiboicot
anti-corruption,anticorrupción
API,API
App Store,App Store
AppFrame,AppFrame
application programming interface,interfaz de programación de aplicaciones
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arquitectura, ingeniería y construcción"
ASM,ASM
aspect ratio,relación de aspecto
assembly,ensamblaje
asset,activo
ATC,ATC
AUGI,AUGI
authorized partner,socio autorizado
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,distribuidor autorizado de Autodesk
Autodesk Authorized Training Center,Centro de Formación Autorizado de Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,blog BIM and Beam de Autodesk
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Programa de estudios de Autodesk sobre BIM para gestión de arquitectura, ingeniería y construcción"
Autodesk Bronze reseller,distribuidor Bronze de Autodesk
Autodesk Building YouTube Channel,Canal de Autodesk en YouTube para la construcción
Autodesk Certification,Certificación de Autodesk
Autodesk Certified User program,Programa de Usuario Certificado de Autodesk
Autodesk Channel Sales Manager,gerente de ventas del canal de Autodesk
Autodesk Channel Team,equipo del canal de Autodesk
Autodesk Consulting,Servicios de Consultoría de Autodesk
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Red de desarrolladores de Autodesk
Autodesk Digital Entertainment Creation solution,solución de Creación de Entretenimiento Digital de Autodesk
Autodesk Distributor Agreement,Acuerdo del distribuidor de Autodesk
Autodesk Download Manager,Administrador de descargas de Autodesk
Autodesk Education,Autodesk Educación
Autodesk Education Community,Autodesk Education Community
Autodesk Education Curriculum,Programa de estudios de Autodesk
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
Autodesk forum,foro de Autodesk
Autodesk Gold partner,socio Gold de Autodesk
Autodesk ID,ID de Autodesk
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning and Education,Aprendizaje y formación de Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk License Manager,Autodesk License Manager
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Partner Program,Programa de Socios de Autodesk
Autodesk Platinum partner,socio Platinum de Autodesk
Autodesk Premier Solutions Provider,proveedor de soluciones Premier de Autodesk
Autodesk Privacy Statement,Declaración de Privacidad de Autodesk
Autodesk sales representative,representante de ventas de Autodesk
Autodesk Services and Support,Servicios y soporte de Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver partner,socios Silver de Autodesk
Autodesk Streamline,Autodesk Streamline
Autodesk Training Center,Centro de capacitación de Autodesk
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
Autodesk Value Added Reseller,distribuidor de valor agregado de Autodesk
Autodesk Value Added Reseller Agreement,Acuerdo del Distribuidor de Valor Agregado de Autodesk
Backburner,Backburner
benchmark report,informe de referencia
BIM for structural engineering curriculum,programa de estudios sobre BIM para ingeniería estructural
blog,blog
BPT,BPT
Brainshark,Brainshark
brightness,brillo
building component,componente de construcción
building engineering,ingeniería de construcción
building product,producto de construcción
business ethics,ética comercial
business plan,plan de negocios
business planning tool,herramienta de planeación empresarial
business process,proceso comercial
business purpose,fin comercial
business record,registro empresarial
business relationship,relación comercial
buy,comprar
CAD,CAD
case ID,identificación del caso
case studies,casos de estudio
case study,caso de estudio
certified hardware,hardware certificado
channel partner,socio de canal
Character Generator,Character Generator
chief executive officer,director ejecutivo
chief financial officer,director financiero
chief legal officer,director jurídico
civil engineering curriculum,programa de estudios para ingeniería civil
clip plane,plano de corte
clipping boundary,contorno de corte
closed end,extremo cerrado
cloud credits,créditos para la nube
cloud services,servicios de nube
coarse,áspero
codec,códec
communication center,centro de comunicaciones
companion product,producto complementario
compare,comparar
complaint,queja
compliance,cumplimiento
concave,cóncavo
concept sketch,boceto conceptual
conceptual design curriculum,programa de estudios sobre diseño conceptual
confidentiality,confidencialidad
conflict of interest,conflicto de intereses
construction manager,gerente de construcción
consulting system integrator partner,socio del Integrador de Sistemas de Consultoría
consumer product,producto de consumo
content source,origen de contenido
contextual tab,pestaña contextual
contract manager,gerente de contratos
coordinate space,espacio de coordenadas
coverage report,informe de cobertura
CSI,CSI
customer reviews,opiniones de clientes
customer showcase,muestra de clientes
customer stories,historias de clientes
customer success stories,historias de éxito  de clientes
customer with a maintenance plan,cliente con un plan de mantenimiento
data portability,portabilidad de datos
data protection,protección de datos
defense,defensa
delete,suprimir
demo video,video de demostración
design intent,finalidad del diseño
design validation,validación del diseño
design visualization,visualización del diseño
Designers Accord,Designers Accord
desktop app,aplicación para escritorio
detailer,responsable del detallado
digital entertainment creation,creación de entretenimiento digital
digital visual interface,interfaz visual digital
disciplinary action,acción disciplinaria
discounted price,precio con descuento
discounted pricing,precio con descuento
discussion forum,foro de discusión
discussion group,grupo de discusión
distributed license server,servidor de licencias distribuido
drafter,dibujante
duct,ducto
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
EDT,EDT
eligible products,productos admisibles
embargo,embargo
energy retrofit,reacondicionamiento energético
environmental design and technology curriculum,programa de estudios sobre diseño y tecnología ambiental
ethical behavior,comportamiento ético
executive vice president of sales and services,vicepresidente ejecutivo para ventas y servicios
express service ID,identificación de servicio Express
extra territory rights,derechos de uso extraterritorial
fabrication,fabricación
FAQs,Preguntas frecuentes
"film, games and television","juegos, cine y televisión"
financial report,informe financiero
firewall,firewall
flexible control,control flexible
flexible license terms,términos de licencia flexibles
flexible licensing terms,términos de licencia flexibles
floating window,ventana flotante
free trial,prueba gratuita
geospatial,geoespacial
global travel rights,derechos de viaje internacional
government affairs policy,política de asuntos gubernamentales
government official,funcionario del gobierno
greater access,mayor acceso
