source,target
3D 網面基本圖元,3D mesh primitive
3D 移動控點,3D Move gizmo
3D 旋轉控點,3D Rotate gizmo
3D 縮放控點,3D Scale gizmo
管理員,administrator
空氣處理裝置,air handler
對齊剖面視圖,aligned section view
定線幾何點,alignment geometry point
定線偏移,alignment offset
ALKIS,ALKIS
載流量,ampacity
日行軌跡,analemma
分析支撐,analytical brace
解析樓板,analytical floor
解析表面,analytical surface
偏折角度,angle of deflection
角速度,angular speed
註解,annotation
視在功率,apparent power
外觀型式,appearance style
附屬設備,appurtenance
弧弦距離,arc-chord distance
ArcGIS,ArcGIS
ArchiCAD 模型,ArchiCAD model
建築樓板,architectural floor
人造水平,artificial horizon
竣工圖,As-built
ASHRAE 配件,ASHRAE fitting
資產資源庫,asset library
ATIL,ATIL
AUM 團隊,AUM team
AutoCAD 模型,AutoCAD model
Autodesk 影像資源庫,Autodesk Image Library
Autodesk Model Coordination,Autodesk Model Coordination
平均端面積,average end area
軸偏移,axis offset
方位角,azimuth
後視,backsight
行動者,ball in court
基準族群,base family
基準地形,base surface
批次轉換器,batch converter
Batch Print,Batch Print
Batch Utility,Batch Utility
BCA,BCA
BCF,BCF
支承牆,bearing wall
折彎直徑,bend diameter
護道,berm
投標套件,bid package
計費期間,billing period
BIM 工具,BIM tool
Bloss,bloss
模糊,blur
模糊度,blurriness
借用者,borrower
邊界點,boundary point
邊界框,bounding box
分支電路,branch circuit
坡度變化移除,breakover removal
磚板,brick veneer
橋接,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
預算代碼區段,budget code segment
預算付款申請,budget payment application
預算轉移歷程,budget transfer history
建築公共區域,building common area
建築整地版形,building footprint
建築樓層,building level
凸度,bulge
平接,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
電纜托盤,cable tray
CADmep,CADmep
圖說標籤,callout tag
相機中心,camera-centric
鐵路超高,cant
末端收頭,cap
底圖集,cartoon set
推開窗,casement
現場澆注,cast-in-place
集水區,catchment
空心牆,cavity wall
天花板平面圖,ceiling plan
中心線,center line
中心標記,center mark
瓷磚,ceramic tile
倒角,chamfer
變更命令轉移,change order transfer
弦距離,chord distance
衝突,clash
Clash Detective,Clash Detective
衝突網格,clash grid
間隙,clearance
間隙衝突,clearance clash
高窗,clerestory
截取體積,clip volume
代碼集型式,code set style
冷水裝置單元,cold water fixture unit
公司,company
複合物件,composite object
概念能源分析,Conceptual Energy Analysis
概念量體,conceptual mass
冷凝水排水,condensate drain
導管,conduit
導管接頭,conduit connector
導管配件,conduit fitting
約束元素,constraint element
可營造性建模,constructability modeling
聯絡人,contact
圖庫,content library
內容套件,content pack
等高線標示,contour label
合約項目,contract item
受控共用,controlled sharing
對流負載,convection load
凸面,convex
座標追蹤器,Coordinate Tracker
蓋頂,cope
COR,COR
樑托,corbel
廊道橫斷面編輯器,corridor section editor
廊道伸縮外圍,corridor shrinkwrap
廊道地形,corridor surface
成本基礎,cost basis
成本影響,cost impact
成本付款申請,cost payment application
計數計量,count takeoff
國家/地區套件,country kit
十字管,crossing pipe
蹲伏,crouch
三次拋物線,cubic parabola
目前目錄,current directory
帷幕網格,curtain grid
帷幕板,curtain panel
帷幕系統,curtain system
帷幕牆,curtain wall
帷幕牆框架,curtain wall frame
帷幕牆網格線,curtain wall grid
帷幕牆豎框,curtain wall mullion
帷幕牆單位,curtain wall unit
曲線嵌合距離,curve tessellation distance
彎曲樑,curved beam
切入風,cut-in speed wind
切出風,cut-out speed wind
CWFU,CWFU
每日風險,daily risk
資料區帶,data band
日光入口,daylight portal
採光玻璃,daylighting glass
靜荷載,dead load
DECDEG,DECDEG
度/分/秒,degrees minutes seconds
DEM,DEM
需求率,demand factor
設計,design
Desktop Connector,Desktop Connector
數位高程模型,digital elevation model
數位地形模型,digital terrain model
尺度約束,DimConstraint
顯示模式,display representation
dll,DLL
