source,target
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Accounting Standards Codification,Codificarea standardelor de contabilitate
ACE,ACE
ad hoc analysis,analiză ad-hoc
ADI,ADI
ADN,ADN
adoption path,cale de adoptare
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
AEC Information Model,Model informațional AEC
AECO,AECO
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
annual order value,valoarea anuală a comenzii
API,API
AppFrame,AppFrame
Application Programming Interface,interfaţă pentru programare de aplicaţii
architectural decision record,înregistrarea deciziei arhitecturale
"architecture, engineering and construction","arhitectură, inginerie şi construcţii"
"Architecture, Engineering, Construction, and Operations","Arhitectură, inginerie, construcții și operațiuni"
ASM,ASM
ATC,ATC
AUGI,AUGI
"Authentication, Authorization and Accounting","Autentificare, autorizare și contabilitate"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Reseller autorizat Autodesk
Autodesk Authorized Training Center,Centru de Instruire Autorizat Autodesk
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Certification,Certificare Autodesk
Autodesk Certified Instructor,Instructor certificat Autodesk
Autodesk Cloud Standards,Standarde cloud Autodesk
Autodesk Compute Platform,Platforma Autodesk Compute
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Environment,Mediul clientului Autodesk
Autodesk Customer Lifecycle,Ciclul de viață al clientului Autodesk
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Education Experience,Autodesk Education Experience
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Event Analysis,Analiza evenimentelor Autodesk
Autodesk Growth Marketing,Marketing pentru dezvoltare Autodesk
Autodesk Health Dashboard,Tablou de bord Autodesk Health
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Learning Central,Autodesk Learning Central
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Autodesk Machine Learning Platform,Platformă de învățare automată Autodesk
Autodesk Material Library,Autodesk Material Library
Autodesk Meshmixer Toolkit,Set de instrumente Autodesk Meshmixer
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Order Entry,Intrare comenzi Autodesk
Autodesk Partner Manager,Managerul de parteneri Autodesk
Autodesk Partner Portal,Portalul Partenerilor Autodesk
Autodesk Partner Program,Programul de parteneriat Autodesk
Autodesk Partner Specializations,Specializări ale partenerilor Autodesk
Autodesk Platform Services,Autodesk Platform Services
Autodesk Sales Incentive Management System,Sistem de gestionare a stimulentelor de vânzare Autodesk
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Shared Component,Autodesk Shared Component
Autodesk Store,Magazin Autodesk
Autodesk Translation Framework,Cadru de lucru Autodesk Translations
Autodesk University,Autodesk University
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
boundary representation,reprezentarea limitei
BREP,BREP
B-rep,B-rep
building information model,modelul informațional al clădirii
building product,produs pentru construcţii
BuildingConnected,BuildingConnected
business process model and notation,model și notare proces comercial
center of excellence,centru de excelență
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
CLIC license manager,Manager licențe CLIC
cloud licensing,licențiere cloud
cloud solid modeling,modelare solidă cloud
Collaboration For Revit,Collaboration For Revit
commercial cloud environment,mediu cloud comercial
common data environment,mediu date comune
common data experience,experiență date comune
common workspace,spațiu de lucru comun
community of practice,comunitatea de practică
community-generated content,conținut generat de comunitate
Configurator 360,Configurator 360
consistent materials user interface,interfața utilizatorului pentru materiale consistente
consumer product,produs de consum
Content Experience Design,Conceptul experienței de conținut
controlled unclassified information,informații neclasificate controlate
customer lifetime value,valoarea clientului pe parcursul duratei de viață
customer research agreement,acord de cercetare pentru clienți
Customer Value Hub,Customer Value Hub
D&M,D&M
D&MwA,D&MwA
data enrichment,ameliorarea datelor
data gravity,gravitatea datelor
Design Collaboration,Proiectare colaborativă
design for manufacturing and assembly,proiectare pentru fabricație și asamblare
design intent,obiectivul proiectării
design visualization,vizualizare proiectare
Designers Accord,Designers Accord
Developer Advocacy and Support,Promovare și asistență pentru dezvoltatori
Developer Support Program,Programul de asistență pentru dezvoltatori
digital customer lifecycle,ciclu de viață al clientului digital
Digital Experience and Customer Empowerment,Experiență digitală și abilitarea clientului
digital HIG,HIG digital
Digital Manufacturing Group,Grup de manufactură digitală
dotcom,dotcom
dotcom guidance,îndrumare dotcom
dynamic application security test,test dinamic de securitate a aplicației
ECaaS,ECaaS
eCommerce as a service,comerț electronic ca serviciu
electronic computer-aided design,concept electronic asistat de computer
enterprise resource planning,planificarea resurselor întreprinderii
entity-component system,sistem entitate-componentă
extended reality,realitate extinsă
fabrication,fabricaţie
fabrication data manager,manager de date legate de fabricare
failure mode and effects analysis,mod de defecțiune și analiza efectelor
FeatureCAM,FeatureCAM
Features and Benefits,Caracteristici şi beneficii
film & TV,film şi televiziune
"film, games and television","filme, jocuri şi televiziune"
FormIt,FormIt
Free Trial,Încercare gratuită
Fusion 360,Fusion 360
Fusion common data experience,Experiență date comune Fusion
Fusion Data Access,Acces date Fusion
Fusion Folder Permissions,Permisiuni folder Fusion
Fusion Health Service,Servicii de sănătate Fusion
Fusion Injection Molding,Turnare prin injecție Fusion
Fusion JavaScript Service,Serviciu JavaScript Fusion
Fusion Lifecycle,Fusion Lifecycle
Fusion Notification Service,Serviciu de notificare Fusion
Fusion synthetic monitoring,Monitorizare sintetică Fusion
Generative Cloud Platform,Platformă cloud generativă
geospatial,geospaţial
Gnosis,Gnosis
Green Building Studio,Green Building Studio
Halley,Halley
Health Dashboard Service,Serviciu tablou de bord stare de sănătate
health of business dashboard,tabloul de bord starea de sănătate a afacerii
Helius Composite,Helius Composite
Helius PFA,Helius PFA
Hot Fix,Hot Fix
Hotfix,Hotfix
HSMWorks,HSMWorks
IaaS,IaaS
IFC,IFC
industrial machinery,utilaje industriale
Information Technology Infrastructure Library,Biblioteca infrastructurii pentru tehnologia informației
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
Instructables,Instructables
Integrated Drainage Design & Analysis,Proiectarea și analiza integrată a sistemelor de drenaj
integration test,test de integrare
Internet of things,Internet of things
interoperability,interoperabilitate
Inventor,Inventor
Inventor LT,Inventor LT
Inventor LT Suite,Inventor LT Suite
Inventor Professional,Inventor Professional
Knowledge Network,Knowledge Network
LEED,LEED
Legal Notices & Trademarks,Menţiuni legale şi mărci comerciale
license management tool,instrumente de gestionare a licenţei
Lightweight Directory Access Protocol,Protocol de acces director lightweight
manufacturing,producţie
marketing,marketing
Maya,Maya
Maya LT,Maya LT
mechanical engineering,inginerie mecanică
media information model,model de informații media
mixed reality,realitate mixtă
MSRP,PRP
Mudbox,Mudbox
multi-factor authentication,autentificare cu factori multipli
multi-user licensing,licențiere utilizatori multipli
multi-user to single-user,de la utilizatori multipli la un singur utilizator
multi-window multi-monitor,monitor multiplu ferestre multiple
NAS,NAS
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
Netfabb,Netfabb
network address translation,traducerea adresei de rețea
Network License Reporting Service,Serviciul de raportare a licenței de rețea
NextGen Autodesk Desktop Application,Aplicația pentru desktop NextGen Autodesk
NLM,NLM
non-contracted reseller,distribuitor necontractat
North Star,North Star
One Team 360,One Team 360
PaaS,PaaS
Phoenix,Phoenix
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerShape,PowerShape
process manufacturing,proces de producţie
procurement,procurare
Product Health Dashboard,Tabloul de bord starea de sănătate a produsului
Product Information Model,Model de informații despre produs
Product Summary,Descriere produs
RaaS,RaaS
