source,target
1-year subscription,subskrypcja roczna
30-day trial,30-dniowa wersja testowa
3D,3D
3D printer,drukarka 3D
3D printing,drukowanie 3D
Accelerate Better Design,Lepsze i szybsze projektowanie
ACE,ACE
activation code,kod aktywacji
active rental plan,aktywny plan wynajmu
add-in,dodatek
additive manufacturing,produkcja addytywna
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,rozgłaszanie
aerospace,aeronautyka
Aligned Marketing Program,program Aligned Marketing Program (AMP)
alpha channel,kanał alfa
ambient color,kolor otoczenia
amendment,zmiana
American Institute of Architects,American Institute of Architects (Amerykański Instytut Architektów)
anchor,składnik zakotwiczenia
anchor point,punkty zakotwiczenia
angle,kąt
angle constraint,wiązania kątowe
Announcements,Powiadomienia
anti-aliasing,antyaliasing
anti-corruption,antykorupcyjne
anxiety question,pytanie o problemy
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Application Engineer,inżynier aplikacji
application ID,identyfikator aplikacji
Application Programming Interface,interfejs programowania aplikacji
Architectural Supplemental Instructions,dodatkowe instrukcje architektoniczne
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","architektura, inżynieria i budownictwo"
Ask Autodesk,Zapytaj Autodesk
ASM,ASM
aspect ratio,współczynnik proporcji
assembly,zespół
asset,zasób
ATC,ATC
ATC Agreement,Umowa z Autoryzowanym Centrum Szkoleniowym (ATC)
ATC Global Program Guide,Przewodnik po globalnym programie Autoryzowanych Centrów Szkoleniowych (ATC)
ATC Locator,Wyszukiwarka Autoryzowanych Centrów Szkoleniowych (ATC)
ATC Online Evaluation System,Internetowy system oceny Autoryzowanych Centrów Szkoleniowych
ATC Site Enrolment and Business Plan Form,Formularz wdrożenia Autoryzowanego Centrum Szkoleniowego i planu biznesowego
attach rate,wskaźnik sprzedaży produktów powiązanych
AU Virtual,program Autodesk University Virtual
AUGI,AUGI
authorized partner,autoryzowany partner
Authorized Training Center,Autoryzowane Centrum Szkoleniowe
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,sprzedawca AVAR Autodesk
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store Verified Download,Sprawdzone pobranie Autodesk App Store
Autodesk assessment test,test próbny Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,autoryzowany partner akademicki (AAP) Autodesk
Autodesk authorized reseller,autoryzowany sprzedawca Autodesk
Autodesk Authorized Training Center,Autoryzowane Centrum Szkoleniowe Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesk BIM i blog Beam
Autodesk BIM Transformation Services,usługi transformacyjne Autodesk BIM
Autodesk Bronze reseller,sprzedawca Autodesk Bronze
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
Autodesk Building YouTube Channel,kanał Autodesk Building w serwisie YouTube
Autodesk Business Center,Centrum Biznesowe Autodesk
Autodesk Business Value Methodology,metodologia wartości biznesowej Autodesk
Autodesk carbon footprint,ślad węglowy Autodesk
Autodesk Certification Training,Szkolenie certyfikacyjne Autodesk
Autodesk Certified Instructor program,program certyfikacji instruktorów Autodesk
Autodesk Certified logo,logo „Certyfikowane przez Autodesk”
Autodesk Certified Professional,Certyfikowany profesjonalista Autodesk
Autodesk Certified User program,Program certyfikowanych użytkowników Autodesk
Autodesk Channel Branding Guidelines,Wytyczne Autodesk dotyczące używania marki
Autodesk Channel Sales Manager,kierownik sprzedaży Autodesk
Autodesk Classroom Training,Autodesk Classroom Training
Autodesk Clean Tech Partner Program,program partnerski Autodesk Clean Tech
Autodesk Collaboration and Data Management Services,usługi zarządzania współpracą i danymi Autodesk
Autodesk Collaborative Project Management Solutions,rozwiązania Autodesk do wspólnego zarządzania projektami
Autodesk Compliance Program,program Autodesk na rzecz zgodności z przepisami
Autodesk Construction Magazine,Magazyn budowlany Autodesk
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Specialization Program,program specjalizacji doradczej Autodesk
Autodesk Content Service,Autodesk Content Service
Autodesk Content Syndication Service,usługa syndykacji zawartości Autodesk
Autodesk Customer Experience Team,zespół obsługi klienta Autodesk
Autodesk Customer Satisfaction Program,program zadowolenia klientów Autodesk
Autodesk Customer Service representative,przedstawiciel obsługi klienta Autodesk
Autodesk Customer Support,obsługa klienta Autodesk
Autodesk data management tools,narzędzia Autodesk do zarządzania danymi
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,pakiety Autodesk Design Suite i Creation Suite
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays Conference,konferencja Autodesk DevDays
Autodesk Developer Network,sieć deweloperów Autodesk Developer Network
Autodesk Developer Network Open,sieć Autodesk Developer Network Open
Autodesk Digital Entertainment Creation solution,rozwiązania Autodesk Digital Entertainment Creation
Autodesk Digital Magazine,magazyn cyfrowy Autodesk
Autodesk Digital Prototyping Forum,forum prototypowania cyfrowego Autodesk
Autodesk Digital Prototyping solution,rozwiązanie Autodesk do prototypowania cyfrowego
Autodesk Digital STEAM Workshop,warsztaty Autodesk Digital STEAM
Autodesk Distributor Agreement,Umowa z dystrybutorem Autodesk
Autodesk Download Manager,Autodesk Download Manager
Autodesk Education,program Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education Curriculum,Program edukacyjny Autodesk
Autodesk Education Suite for Architecture & Engineering,pakiet Autodesk Education Suite for Architecture & Engineering
Autodesk Education Suite for Civil & Structural Engineering,pakiet Autodesk Education Suite for Civil & Structural Engineering
Autodesk Education Suite for Industrial Design,pakiet Autodesk Education Suite for Industrial Design
Autodesk Education Suite for Mechanical Engineering,pakiet Autodesk Education Suite for Mechanical Engineering
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Engineer-to-Order Services,usługi Engineer-to-Order Autodesk
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk flex token,token flex Autodesk
Autodesk FLUX Design Competition,konkurs projektowania Autodesk FLUX Design Competition
Autodesk forum,forum Autodesk
Autodesk Gallery,Galeria Autodesk
Autodesk Gold partner,partner Autodesk Gold
Autodesk ID,Autodesk ID
Autodesk iiko Experience,konkurs Autodesk iiko Experience
Autodesk in the News,Prasa o Autodesk
Autodesk Industry Careers Framework for Games and Animation,program Autodesk Industry Careers Framework for Games and Animation
Autodesk Infrastructure Solutions,rozwiązania infrastrukturalne Autodesk
Autodesk Inside Sales Team,wewnętrzny zespół sprzedaży Autodesk
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning and Education,szkolenia i edukacja Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Program Autodesk Legacy
Autodesk License Compliance Team,zespół badania zgodności z warunkami licencji
Autodesk License Manager,program Autodesk Licensing Manager
Autodesk Live,AutoCAD Live
Autodesk Live Chat,Autodesk Live Chat
Autodesk Manufacturing Team,zespół produkcyjny Autodesk
Autodesk MasterClasses,Szkolenie Autodesk MasterClasses
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,oficjalne materiały szkoleniowe Autodesk
Autodesk Official Training Guides,oficjalne podręczniki szkoleniowe Autodesk
Autodesk Online Store,sklep internetowy Autodesk
Autodesk Online Testing Service,usługa testowania online Autodesk
Autodesk Partner Marketing Platform,Platforma marketingowa dla partnerów Autodesk
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Partner Program,Program partnerski Autodesk
Autodesk Partner Specializations,Specjalizacje Partnerów Autodesk
Autodesk Per-Incident Support,pomoc techniczna Autodesk do pojedynczych zgłoszeń
Autodesk Platinum partner,partner Autodesk Platinum
Autodesk Portfolio,Oferta Autodesk
Autodesk Preferred Industry Partner,preferowany partner branżowy Autodesk
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacy Statement,Oświadczenie Autodesk o ochronie prywatności
Autodesk Professional Excellence,program doskonalenia zawodowego Autodesk
Autodesk Renovation and Retrofit Playbook,Autodesk Renovation and Retrofit Playbook
Autodesk Retirement Program,Program wycofywania produktów Autodesk
Autodesk Route 66 Professional Skills Training,szkolenie zawodowe Autodesk Route 66
Autodesk Sales Development Fund,fundusz rozwoju sprzedaży Autodesk
Autodesk sales representative,przedstawiciel handlowy Autodesk
Autodesk Services and Support,Usługi i pomoc techniczna Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Sign In Help,Logowanie w Autodesk — pomoc
Autodesk Silver partner,partner Autodesk Silver
Autodesk software,oprogramowanie Autodesk
Autodesk software license,licencja na oprogramowanie Autodesk
Autodesk Software License Agreement,Umowa licencyjna oprogramowania Autodesk
Autodesk solution for Digital Prototyping,rozwiązanie Autodesk do prototypowania cyfrowego
Autodesk Store,Sklep Autodesk
Autodesk Streamline,Autodesk Streamline
Autodesk suite,pakiet Autodesk
Autodesk support agent,pracownik pomocy technicznej Autodesk
Autodesk Sustainable Design Center,Centrum Zrównoważonego Projektowania Autodesk
Autodesk Training Center,Centrum szkoleniowe Autodesk
Autodesk Trust Center,Centrum zaufania Autodesk
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk Upgrade and Retirement Program,program uaktualniania i wycofywania produktów Autodesk
Autodesk User Group International,Międzynarodowa Grupa Użytkowników Autodesk
Autodesk Value Added Reseller,sprzedawca Autodesk wnoszący wartość dodaną
Autodesk Value Added Reseller Agreement,Umowa ze sprzedawcą AVAR
Autodesk Virtual Classroom Training,Autodesk Virtual Classroom Training
auto-fulfilment,automatyczna realizacja
automotive component design,projektowanie podzespołów samochodowych
automotive supply chain,łańcuch dostaw w motoryzacji
Available languages,dostępne języki
Backburner,Backburner
Baseline Features,funkcje podstawowe
basic tooltip,podstawowa etykieta narzędzi
Be BIM Ready,Przygotuj się do BIM
benchmark report,raport porównawczy
Benefit Guide,przewodnik po korzyściach
best practice,najlepsze praktyki
Better by Design,Lepsze już od projektu
BIM Adoption and Change Management services,usługi przysposobienia i zarządzania zmianami z zakresu BIM
BIM Enterprise Execution Plan,korporacyjny plan realizacji projektów BIM
BIM for Structural Engineering Curriculum,Program z zakresu BIM na potrzeby inżynierii budowlanej
BIM Implementation and Integration Services,wdrożenie i integracja BIM
BIM Knowledge Package,pakiet wiedzy z zakresu BIM
BIM Standards and Processes services,usługi z zakresu standardów i procesów BIM
BIM Strategy services,usługi strategiczne z zakresu BIM
biomimicry,biomimetyka
bioplastics,bioplastiki
bioswale,basen infiltracyjny
blobby effect,nierówności
blog,blog
BlueSnap,BlueSnap
boilerplate,materiały firmowe
box shot,zdjęcie pudełka
boxed shipment,dostawa wersji pudełkowej
boxshot,zdjęcie pudełka
Brainshark,Brainshark
brandable static and flash banner,"banery reklamowe z opcją dodania logo, statyczne i w wersji Flash"
brick soldier course,cegła kładziona główką
brightness,jasność
b-roll,rolka b
brownfield,ponowna zabudowa
building component,element budynku
building design,projektowanie budynków
building engineering,inżynieria budowlana
building equipment,sprzęt budowlany
Building Industry Strategy & Relations,tworzenie strategii branżowej i budowanie relacji
building product,produkt budowlany
building products manufacturer,wytwórca produktów budowlanych
Business Development,rozwój biznesu
business ethics,etyka biznesowa
business plan,plan biznesowy
Business Planning Tool,narzędzie do planowania biznesowego
business process,proces biznesowy
business purpose,cel biznesowy
business record,dokumentacja biznesowa
business relationship,relacja biznesowa
Business Trends,trendy biznesowe
calculator,kalkulator
Call to Action,Wezwanie do działania
callout,odwołanie
call-out,odwołanie
camera animation,animacja filmowa
caption,napis
carbon emission analysis,analiza emisji dwutlenku węgla
Careers,Praca
cascade,kaskadowo
case ID,identyfikator zgłoszenia
Case studies,Analizy przypadków
case study,analiza przypadku
Celebrating Creativity,celebrowanie kreatywności
certification exam,egzamin certyfikacyjny
Certification Team,zespół certyfikacji
Certified Associate,certyfikowany współpracownik
certified hardware,certyfikowany sprzęt
channel development,rozwój kanałów sprzedaży
Channel Development Fund,fundusz rozwoju kanałów sprzedaży
Channel Incentive program,program motywacyjny dla partnerów handlowych
Channel Management,zarządzanie kanałami sprzedaży
channel partner,partner handlowy
character designer,projektant postaci
Character Generator,Character Generator
cheat sheet,informacje pomocnicze
cheatsheet,informacje pomocnicze
chief executive officer,dyrektor generalny
chief financial officer,dyrektor finansowy
Chief Technical Officer,dyrektor techniczny
cinematic-quality,jakość kinowa
Civil Engineering Curriculum,program z zakresu inżynierii wodno-lądowej
clean tech,ekologiczne technologie
clean technology innovator,innowator ekologicznych technologii
Client Relations Team,zespół relacji z klientami
clip plane,płaszczyzna przycięcia
clipping boundary,obrys przycinający
closed end,zamknięty koniec
cloud credits,jednostki chmury
cloud services,usługi chmurowe
cloud unit,jednostka chmury
coarse,o niskim poziomie szczegółowości
co-branding,łączenie marek
