source,target
langganan 1 tahun,1-year subscription
uji coba 30 hari,30-day trial
3D,3D
Pencetak 3D,3D printer
Pencetakan 3D,3D printing
3ds Max,3ds Max
Desain 3ds Max,3ds Max Design
A360,A360
Rendering A360,A360 Rendering
A360 Team,A360 Team
ACC,ACC
akselerasi,acceleration
Manajemen Akun,Account Management
ACE,ACE
ACI,ACI
kode aktivasi,activation code
skenario aktivasi,activation scenario
kontrak aktif,active contract
Direktori Aktif,Active Directory
paket sewa aktif,active rental plan
umpan aktivitas,activity feed
Monitor Aktivitas,Activity Monitor
add-in,add-in
manufaktur aditif,additive manufacturing
tambahan,add-on
ADI,ADI
AdLM,AdLM
Alat Administratif,Administrative Tools
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Iluminasi Tingkat Lanjut,Advanced Illuminance
MEA,AEC
Koleksi MEA,AEC Collection
dirgantara,aerospace
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Program Pemasaran Selaras,Aligned Marketing Program
saluran alfa,alpha channel
Metode Distribusi Alternatif,Alternative Distribution Methods
warna sekitar,ambient color
oklusi sekitar,ambient occlusion
suhu sekitar,ambient temperature
amandemen,amendment
American Institute of Architects,American Institute of Architects
AMP,AMP
titik jangkar,anchor point
sudut,angle
batasan sudut,angle constraint
anil,annealing
Ansys Mechanical,Ansys Mechanical
antiboikot,anti-boycott
antikorupsi,anti-corruption
pertanyaan kecemasan,anxiety question
AOTC,AOTC
API,API
App Store,App Store
perjanjian lisensi pengguna akhir app store,app store end user license agreement
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Perekayasa Aplikasi,Application Engineer
ID aplikasi,application ID
Antarmuka Pemrograman Aplikasi,Application Programming Interface
aPriori,aPriori
ArcGIS,ArcGIS
Petunjuk Tambahan Arsitek,Architect's Supplemental Instruction
Petunjuk Tambahan Arsitektur,Architectural Supplemental Instructions
"Koleksi Arsitektur, Teknik & Konstruksi","Architecture, Engineering & Construction Collection"
"arsitektur, teknik dan konstruksi","architecture, engineering and construction"
array,array
ASI,ASIs
ASM,ASM
rasio aspek,aspect ratio
perakitan,assembly
aset,asset
ATC,ATC
Perjanjian ATC,ATC Agreement
Panduan Program Global ATC,ATC Global Program Guide
Pencari Lokasi ATC,ATC Locator
Sistem Evaluasi Online ATC,ATC Online Evaluation System
Formulir Pendaftaran Lokasi dan Rencana Bisnis ATC,ATC Site Enrolment and Business Plan Form
lampirkan tarif,attach rate
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
autentikasi,authentication
mitra akademik resmi,authorized academic partner
mitra resmi,authorized partner
pengecer resmi,authorized reseller
AutoCAD,AutoCAD
Add-In AutoCAD 2019,AutoCAD 2019 Add-In
AutoCAD 360,AutoCAD 360
Add-In AutoCAD Architecture 2019,AutoCAD Architecture 2019 Add-In
Add-In AutoCAD Civil 3 D 2019,AutoCAD Civil 3 D 2019 Add-In
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,AutoCAD Electrical
Add-In AutoCAD Electrical 2019,AutoCAD Electrical 2019 Add-In
AutoCAD Electrical Turing Beta,AutoCAD Electrical Turing Beta
AutoCAD for Mac,AutoCAD for Mac
AutoCAD termasuk set alat khusus,AutoCAD including specialized toolsets
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
Add-In AutoCAD LT 2019,AutoCAD LT 2019 Add-In
AutoCAD LT for Mac,AutoCAD LT for Mac
Add-In AutoCAD Map 2019,AutoCAD Map 2019 Add-In
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
Add-In AutoCAD Mechanical 2019,AutoCAD Mechanical 2019 Add-In
Add-In AutoCAD MEP 2019,AutoCAD MEP 2019 Add-In
Bantuan Migrasi AutoCAD,AutoCAD Migration Assistance
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
Add-In AutoCAD Plant 3 D 2019,AutoCAD Plant 3 D 2019 Add-In
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Add-In AutoCAD Structural Detailing 2019,AutoCAD Structural Detailing 2019 Add-In
Add-In AutoCAD Utility Design 2019,AutoCAD Utility Design 2019 Add-In
AutoCAD vertical,AutoCAD vertical
Autocast,Autocast
Koreksi Otomatis,AutoCorrect
Pengecer Nilai Tambah Akademik Autodesk,Autodesk Academic Value Added Reseller
Dukungan Lanjutan Autodesk,Autodesk Advanced Support
Autodesk Analytics,Autodesk Analytics
Akademi Animasi Autodesk,Autodesk Animation Academy
Unduhan Terverifikasi Autodesk di App Store,Autodesk App Store Verified Download
Uji penilaian Autodesk,Autodesk assessment test
Pencari Aset Autodesk,Autodesk Asset Locator
Mitra Akademik Resmi Autodesk,Autodesk Authorized Academic Partner
Pengecer resmi Autodesk,Autodesk authorized reseller
Pusat Pelatihan Resmi Autodesk,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Dukungan Dasar Autodesk,Autodesk Basic Support
Autodesk BIM dan Blog Beam,Autodesk BIM and Beam Blog
"Autodesk BIM untuk Kurikulum Arsitektur, Teknik dan Manajemen Konstruksi","Autodesk BIM for Architecture, Engineering and Construction Management Curriculum"
Layanan Transformasi Autodesk BIM,Autodesk BIM Transformation Services
Pengecer Autodesk Bronze,Autodesk Bronze reseller
Buku Panduan Teknik Autodesk Building,Autodesk Building Engineering Playbook
Saluran YouTube Autodesk Building,Autodesk Building YouTube Channel
Pusat Bisnis Autodesk,Autodesk Business Center
Metodologi Nilai Bisnis Autodesk,Autodesk Business Value Methodology
Jejak karbon Autodesk,Autodesk carbon footprint
Sertifikasi Autodesk,Autodesk Certification
Pelatihan Sertifikasi Autodesk,Autodesk Certification Training
Program Instruktur Bersertifikat Autodesk,Autodesk Certified Instructor program
Logo Bersertifikat Autodesk,Autodesk Certified logo
Profesional Bersertifikat Autodesk,Autodesk Certified Professional
Program Pengguna Bersertifikat Autodesk,Autodesk Certified User program
Manajer Penjualan Autodesk Channel,Autodesk Channel Sales Manager
Tim Autodesk Channel,Autodesk Channel Team
Pelatihan Kelas Autodesk,Autodesk Classroom Training
Program Mitra Teknologi Bersih Autodesk,Autodesk Clean Tech Partner Program
Layanan Kolaborasi dan Manajemen Data Autodesk,Autodesk Collaboration and Data Management Services
Solusi Manajemen Proyek Kolaboratif Autodesk,Autodesk Collaborative Project Management Solutions
Program Kepatuhan Autodesk,Autodesk Compliance Program
Cloud Konstruksi Autodesk,Autodesk Construction Cloud
Majalah Konstruksi Autodesk,Autodesk Construction Magazine
Konsultasi Autodesk,Autodesk Consulting
Program Spesialisasi Konsultasi Autodesk,Autodesk Consulting Specialization Program
Penjelajah Konten Autodesk,Autodesk Content Explorer
Layanan Konten Autodesk,Autodesk Content Service
Layanan Sindikasi Konten Autodesk,Autodesk Content Syndication Service
Autodesk Creative Commons,Autodesk Creative Commons
Lisensi Autodesk Creative Commons,Autodesk Creative Commons license
Tim Pengalaman Pelanggan Autodesk,Autodesk Customer Experience Team
Program Kepuasan Pelanggan Autodesk,Autodesk Customer Satisfaction Program
Perwakilan Layanan Pelanggan Autodesk,Autodesk Customer Service representative
Dukungan Pelanggan Autodesk,Autodesk Customer Support
Alat bantu manajemen data Autodesk,Autodesk data management tools
Autodesk Design Academy,Autodesk Design Academy
Suite Desain dan Kreasi Autodes,Autodesk Design and Creation Suites
Autodesk Design untuk,Autodesk Design for Industry
Institut Desain Autodesk,Autodesk Design Institute
Paket Desain Autodesk,Autodesk Design Package
Konektor Desktop Autodesk,Autodesk Desktop Connector
Konferensi Autodesk DevDays,Autodesk DevDays Conference
Jaringan Pengembang Autodesk,Autodesk Developer Network
Jaringan Pengembang Autodesk Terbuka,Autodesk Developer Network Open
Solusi Autodesk Digital Entertainment Creation,Autodesk Digital Entertainment Creation solution
Majalah Digital Autodesk,Autodesk Digital Magazine
Forum Prototipe Digital Autodesk,Autodesk Digital Prototyping Forum
Solusi Prototipe Digital Autodesk,Autodesk Digital Prototyping solution
Lokakarya Autodesk Digital STEAM,Autodesk Digital STEAM Workshop
Perjanjian Distributor Autodesk,Autodesk Distributor Agreement
Dokumen Autodesk,Autodesk Docs
Pengelola Unduhan Autodesk,Autodesk Download Manager
Drive Autodesk,Autodesk Drive
Pendidikan Autodesk,Autodesk Education
Komunitas Pendidikan Autodesk,Autodesk Education Community
Kurikulum Pendidikan Autodesk,Autodesk Education Curriculum
Autodesk Education Suite untuk Arsitektur & Teknik,Autodesk Education Suite for Architecture & Engineering
