source,target
30-dagars testversion,30-day trial
3D-skrivare,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Accounting Standards Codification,Accounting Standards Codification
ACE,ACE
aktiveringskod,activation code
ad hoc-analys,ad hoc analysis
tillägg,add-in
ADI,ADI
AdLM,AdLM
ADN,ADN
integreringsväg,adoption path
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
AEC Collection,AEC Collection
AEC-informationsmodell,AEC Information Model
AECO,AECO
flyg- och rymdindustrin,aerospace
prisvärd,affordable
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
alfakanal,alpha channel
färg i omgivningsljus,ambient color
omgivningstemperatur,ambient temperature
fäste,anchor
fästpunkt,anchor point
vinkel,angle
vinkelbegränsning,angle constraint
årligt beställningsvärde,annual order value
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
applikationsprogramgränssnitt,Application Programming Interface
arkitektoniskt beslutsprotokoll,architectural decision record
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"arkitektur, teknik och konstruktion","architecture, engineering and construction"
"Arkitektur, teknik, konstruktion och verksamhet","Architecture, Engineering, Construction, and Operations"
ASM,ASM
ATC,ATC
AUGI,AUGI
"Autentisering, auktorisering och redovisning","Authentication, Authorization and Accounting"
auktoriserad återförsäljare,authorized partner
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesks utvärderingstest,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
Autodesks auktoriserade utbildningscenter,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
