source,target
30 天试用版,30-day trial
三维,3D
3D 打印机,3D printer
3D 打印,3D printing
3ds Max,3ds Max
3ds Max Design,3ds Max Design
关于我们,About Us
促进更好的设计,Accelerate Better Design
加速,acceleration
帐户管理,Account Management
ACE,ACE
ACI,ACI
激活和注册,Activate & Register
激活码,activation code
已达到激活限制,Activation Limit Reached
激活场景,activation scenario
生效合约,active contract
Active Directory,Active Directory
有效租赁计划,active rental plan
活动提要,activity feed
活动监视器,Activity Monitor
添加新的支付方式,Add new payment method
增材制造,additive manufacturing
ADI,ADI
AdLM,AdLM
管理工具,Administrative Tools
ADN,ADN
ADN Open,ADN Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
公布,advertise
航空,aerospace
AIA,AIA
警报,alert
联合营销计划,Aligned Marketing Program
Alpha 通道,alpha channel
备选分发方法,Alternative Distribution Methods
环境色,ambient color
环境光阻挡,ambient occlusion
环境温度,ambient temperature
修订,amendment
美国建筑师协会,American Institute of Architects
定位,anchor
定位点,anchor point
角度,angle
角度约束,angle constraint
退火,annealing
公告,Announcements
抗锯齿,anti-aliasing
反抵制,anti-boycott
反腐败（反贿赂）,anti-corruption
令人担忧的问题,anxiety question
AOTC,AOTC
API,API
App Store,App Store
App Store 最终用户许可协议,app store end user license agreement
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
应用工程师,Application Engineer
应用程序 ID,application ID
应用程序编程接口,Application Programming Interface
建筑补充说明,Architectural Supplemental Instructions
工程建设软件集,"Architecture, Engineering & Construction Collection"
阵列,array
ASI,ASIs
咨询 Autodesk,Ask Autodesk
ASM,ASM
纵横比,aspect ratio
部件,assembly
资源,asset
ATC,ATC
ATC 协议,ATC Agreement
ATC 全球计划手册,ATC Global Program Guide
ATC 定位器,ATC Locator
ATC 在线评估系统,ATC Online Evaluation System
ATC 站点注册和业务规划表,ATC Site Enrolment and Business Plan Form
合约同期购买率,attach rate
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
身份验证,authentication
授权码,authorization code
授权学术合作伙伴,authorized academic partner
授权合作伙伴,authorized partner
授权经销商,authorized reseller
AutoCorrect,AutoCorrect
Autodesk 学术增值经销商,Autodesk Academic Value Added Reseller
Autodesk Advanced Support（高级支持）,Autodesk Advanced Support
Autodesk 分析,Autodesk Analytics
Autodesk 动画学院,Autodesk Animation Academy
Autodesk App Store 验证的下载,Autodesk App Store Verified Download
Autodesk 评估测试,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk 授权学术合作伙伴,Autodesk Authorized Academic Partner
Autodesk 授权经销商,Autodesk authorized reseller
Autodesk 授权培训中心,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support（基本支持）,Autodesk Basic Support
Autodesk BIM and Beam 博客,Autodesk BIM and Beam Blog
面向工程建设管理的 Autodesk BIM 课程,"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum"
Autodesk BIM 转换服务,Autodesk BIM Transformation Services
Autodesk 铜牌经销商,Autodesk Bronze reseller
Autodesk 建筑工程手册,Autodesk Building Engineering Playbook
Autodesk 建筑 YouTube 频道,Autodesk Building YouTube Channel
Autodesk 业务中心,Autodesk Business Center
Autodesk 业务价值方法,Autodesk Business Value Methodology
Autodesk 碳排放量,Autodesk carbon footprint
Autodesk 认证,Autodesk Certification
Autodesk 认证培训,Autodesk Certification Training
Autodesk 认证讲师计划,Autodesk Certified Instructor program
Autodesk 认证标识,Autodesk Certified logo
Autodesk 认证专家,Autodesk Certified Professional
Autodesk 认证用户计划,Autodesk Certified User program
Autodesk 渠道品牌推广手册,Autodesk Channel Branding Guidelines
Autodesk 渠道销售经理,Autodesk Channel Sales Manager
Autodesk 渠道团队,Autodesk Channel Team
Autodesk 课堂培训,Autodesk Classroom Training
Autodesk 清洁技术合作伙伴计划,Autodesk Clean Tech Partner Program
Autodesk 协作和数据管理服务,Autodesk Collaboration and Data Management Services
Autodesk 协作项目管理解决方案,Autodesk Collaborative Project Management Solutions
Autodesk 合规计划,Autodesk Compliance Program
Autodesk 建筑杂志,Autodesk Construction Magazine
Autodesk 咨询,Autodesk Consulting
Autodesk 咨询专业认证计划,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
Autodesk 内容供稿服务,Autodesk Content Syndication Service
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons 许可,Autodesk Creative Commons license
Autodesk 客户接洽计划,Autodesk Customer Engagement Program
Autodesk 客户体验团队,Autodesk Customer Experience Team
Autodesk 客户参与计划,Autodesk Customer Involvement Program
Autodesk 客户满意度计划,Autodesk Customer Satisfaction Program
Autodesk 客户服务代表,Autodesk Customer Service representative
Autodesk 客户支持,Autodesk Customer Support
Autodesk 数据管理工具,Autodesk data management tools
Autodesk 设计学院,Autodesk Design Academy
Autodesk 设计与创作套件,Autodesk Design and Creation Suites
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays 会议,Autodesk DevDays Conference
Autodesk Developer Network,Autodesk Developer Network
Autodesk Developer Network Open,Autodesk Developer Network Open
Autodesk 数字娱乐创作解决方案,Autodesk Digital Entertainment Creation solution
Autodesk 数字杂志,Autodesk Digital Magazine
Autodesk 数字化样机论坛,Autodesk Digital Prototyping Forum
Autodesk 数字 STEAM 研讨会,Autodesk Digital STEAM Workshop
Autodesk 分销商协议,Autodesk Distributor Agreement
Autodesk Download Manager,Autodesk Download Manager
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education 课程,Autodesk Education Curriculum
Autodesk 员工购买计划,Autodesk Employee Purchase Program
Autodesk 按订单设计服务,Autodesk Engineer-to-Order Services
Autodesk Enterprise Priority Support（企业优先支持）,Autodesk Enterprise Priority Support
Autodesk Flex 令牌,Autodesk flex token
Autodesk FLUX 设计竞赛,Autodesk FLUX Design Competition
Autodesk 论坛,Autodesk forum
Autodesk Gallery,Autodesk Gallery
Autodesk 金牌合作伙伴,Autodesk Gold partner
Autodesk ID,Autodesk ID
Autodesk iiko 体验,Autodesk iiko Experience
Autodesk in the News,Autodesk in the News
面向游戏和动画的 Autodesk 行业职业框架,Autodesk Industry Careers Framework for Games and Animation
Autodesk 基础设施解决方案,Autodesk Infrastructure Solutions
Autodesk 内部销售团队,Autodesk Inside Sales Team
Autodesk 安装帮助,Autodesk Installation Help
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk 实验室,Autodesk Labs
Autodesk 快速启动窗,Autodesk LaunchPad
Autodesk 学习与教育,Autodesk Learning and Education
Autodesk Learning Central,Autodesk Learning Central
Autodesk 旧产品计划,Autodesk Legacy Program
Autodesk 许可合规团队,Autodesk License Compliance Team
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
